Date and Time,Description,Reference No.,Debit,Credit,Balance
1/21/2026 18:28,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.037E+12,,500,539.44
1/21/2026 18:30,Payment to MLBB,611672251,105.34,,434.1
1/21/2026 18:31,Payment to MLBB,384226900,105.34,,328.76
1/21/2026 19:29,"Payment to Apple services, Merchant Transaction Number: MN40ZZYTVKa0",386133737,60,,268.76
1/24/2026 10:44,Payment to Smart GigaLife,395844759,55,,213.76
1/29/2026 9:47,Buy Load Transaction for My_Number,313777958,57,,156.76
1/29/2026 12:52,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03727E+12,,500,656.76
1/29/2026 12:59,Transfer from My_Number to Others_Number,3.03727E+12,200,,456.76
2/1/2026 12:55,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03737E+12,,250,706.76
2/1/2026 12:56,"Payment to Apple services, Merchant Transaction Number: MN410D4JLKa0",325280191,499,,207.76
2/2/2026 9:13,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03742E+12,,1000,1207.76
2/2/2026 9:16,"Payment to Apple services, Merchant Transaction Number: MN410FJW22a0",330777859,830,,377.76
